base	sub	15.27	15.48	1.014
base	hp	32.90	30.05	0.913
base	ind	49.77	48.19	0.968
L6D12	sub	15.54	15.77	1.015
L6D12	hp	7.16	6.56	0.916
L6D12	ind	38.65	38.14	0.987
cue	sub	15.27	15.48	1.014
cue	hp	14.99	8.63	0.576
cue	ind	32.20	26.90	0.835
noroom	sub	15.27	15.48	1.014
noroom	hp	13.73	8.38	0.610
noroom	ind	31.26	26.77	0.856
